1   破位了，前期涨幅过大，接下来步入调整周期，34元有一个小的技术支撑，不一定能撑住。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限现在是大盘股涨，小盘股自然弱，今天创业板调整，此股之前涨幅过大，修整 一下也正常。可持股。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限建议问问题，带上“你好”二字，符合基本礼貌。该股上行压力在48，短线弱震荡修复将继续。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线海大高了出现卖出信号了，如意能量不足，下周大盘调整是大概率事件。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限理论上该启动了，2大阳垫底，蓄势明显。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限今天可以逢高出局，短线将调整。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，上涨趋势未完，5分钟出现盘整背驰，可做T,也可换股。做T要看13.8能否守住。,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这票这波是主升3浪，可以的，消息也是利好，估计要涨。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限三力士接下来开中阳一到两根，然后有搭平台可能，平台不背驰就持股，背驰就逢高出。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限到去年高位，短线将宽幅震荡。可以高抛低吸为主。,,,,,,,,,,,,
1   呵呵，恭喜赚钱。以下为问答私密内容，你已经解锁获得查看权限上海电气近阶走势还可以，今天封单也还不错，可持股。目标点位在23一线。短线我们昨天布局的聚飞光电?? 价格也不高。可以考虑。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限中线不看好，短线倒是还可以。有机会补涨下。但股性不活。,,,,,,,,,,,,
0   你好，此股和之前大连重工类似。以下为问答私密内容，你已经解锁获得查看权限上方20块一线压力山大，需要横盘来消化。你介入的过早了。盘整还没结束。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这种票持股没问题，中线票，36是理论价,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，可以啦，最近的票给你的都是大涨的啊，暂时持股啊，先不用换！,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，现价30，上压在31.5，空间太小，不是很理想介入点。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限明天冲高回落概率大，康恩贝是个中线票，可来回操作。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限政策底不一定是市场底，要入最好跌了抄底。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限暂可持有，有补涨机会，关注9.7的重要阻力！,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限双钱重组刺激的连板，只能在打开后再看多空能量，不打开就持有。西藏药业可以持有，盘整将要结束。登云股份，大的极别盘区，短线可以，中线较弱。蓝是周线极别的盘整，所以股性较温，中线可持，短线一般。世联行走势较弱，如39再试上不去可逢高出局。短线盘区。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限放量滞涨，短线要盘一盘了，中线还可以持有，短线要跌一跌了，明天看36.3能不能站回了，站不回就要跌回34了,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线未止跌，30一线有支撑，建议止损设在30一线，如有高点也可以先高抛。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限19再看吧，短线有补涨要求。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限近在眼前，那是妥妥的。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线偏高，明天股指交割日，不建议进入。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限不能补仓，要补也是今天跌停打开那会有机会，过了就逢高出为主。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限不会的，没涨的都会有轮涨机会，现在调不深。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限看下午走势，现价23附近不破可入一部分。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这种票又不会暴涨，没必要追，收盘再看，最好站在23上方，中线还可以。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限不建议补仓，刚刚失守20天线，现在补要冒的风险较大。而且短线涨的多了。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，下周低开看一下52.5一一有没月支撑，没有的话还是要出。有支撑则弹一笔到56再看。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限走势可以，盘局将破，理论还有一次急拉段，可以持股。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短一12.3压力较重，不属于超跌，且没有大题材，不是很好。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限涨势刚起，可持有。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限此股中线大有可为，景气度高，该股昨天异动买入有三大是机构专用席位，次极别出现3买当是主升段，前天是第一个缺口，理论不会这么快结束，今天盘口没有大单净卖，基本是多空对冲，你可在晚上看一下今日异动榜席位情况确认，基本主力出货可能较小。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这票跌的少，有可能要补跌，还是当心点。理论上19不能破。好股票有不少，不过不一定能涨，现在大盘提前止跌的沪深300B ?150052 ? ,短线是相对安全的，但是仍需控制仓位，大盘还没算成功止跌。,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线17.7一线有支撑，中线还可以的。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限新年好，不是很建议买，上压在17一线，当前空间不大，公司现金流也不理想。大盘还没到真正的反弹时机。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限汉王昨天确认破位啊，该跑啊。短线创业板没戏了，权重的抽血太强大，还是逢高先离场的好。搜于特还可以，此轮补涨，回试10天线了暂持。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限当前走势还不确定，上方缺口要下周一看，如果高开补缺则无碍。低开要当心！,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这票按结构是要反弹到23一线上不去再去创新低，当前还可以观察一下。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限接下来有两种走势可能，一是横着走，二是接着杀，总归不大理想。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线是要调整一下。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限伊利和青青算是防御性行业，基本面也可以。其它一般。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线震荡为主，建议再创新高暂离场。。料将有短回撤。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，天原集团可持股，当心上面的13.7的压力或有明显回撤，补仓一般。天茂集团中线还有一定空间，短线已是中枢扩张，理论还有新高，可适量补仓。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线到年线压力位了，看3天，如未突破则出局。,,,,,,,,,,,,
9  详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，明天有冲高机会，建议逢高先出局，当前是新弱中构区间，仍是盘整结 构。,,,,,,,,,,,,
1   你好，问题实在太多，且我一般不回答匿名的朋友。,,,,,,,,,,,,
1   你好，当前走势是30F震荡，卖点在以下为问答私密内容，你已经解锁获得查看权限刚出，短线可以先离场。可做高抛低吸。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，大盘调整就在下周，可以先出来休息一下。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限接下来理论会盘整3天左右，可逢低入场。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限九两个煤炭三个都可以持有。煤炭短线还有上涨动力。医药还要涨。恒生电子可逢高离场 ，短线有利空，且是盘局高点。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，不建议买入，形态不是太好，还需筑底整固。可考虑万达信息。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限现在不能轻言中长线，破22果断止损。年线很重要。破了就是熊股了。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线还有反弹空间，暂持。 ?国的第一缺位 17.7 ? ?和众合的27一线分别有压力。,,,,,,,,,,,,
1   你好海通当前以下为问答私密内容，你已经解锁获得查看权限还比较强，海通创新高回撤，下周有重新拉起可能，26不破问题不大。桂林旅游天量震荡还有新高。天马精化走势也比较稳健，可以持股。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线暂持，下午仍是震荡，建议在13、5一线逢高出。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限可以，不贵，不过不排除大盘仍有反复。要做好心理准备，买了放半年。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限形态不大妙，价格还是太贵，理论还有个新低。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这票中线还很有潜力，但短线有点危险，28你要看一下能不能撑住，撑不住就要下26块平台了，那你到时可以做个高抛低吸。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这个走势偏弱，下周攻到29.2一线要看多头持续性，理论攻不上去回撤再掉头? MACD上0再回踩0，才是买点，否则就是个震荡走势。,,,,,,,,,,,,
9   广汇是西部开发加油改，现在是补涨阶段！以下为问答私密内容，你已经解锁获得查看权限广汇是西部开发加油改，现在是补涨阶段！下周如回踩10.6一线再向上，还会上涨的。可持股。广船和海格是中线票，当前形态仍较好，可继续持股。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，观点包主要有三部分，欢迎订阅。一、分析市场要闻与板块机会二、分析大盘涨跌结构与主力动向三、牛股分享你的票实在多了，我觉的偏中线。短线股市暴跌后，人气修复需要时间，没有什么票是可以一直持有的。高抛低吸比较合适。当中格力电器与海格通信/中国重工我觉的不错，其它一般。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限中线票，放量中阴，短线是要调整了。调个3五天再看看势。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限那不是创历史新高了么，这票慢，还可以持股啦。,,,,,,,,,,,,
1   你好，昨天火热的物联网今天还是比较热，虽然汉威电子今天冲高回落，但是其它个股表现仍抢眼，逢华智能昨天涨停今天继续涨停，急涨涨停不打开就持有，打开可以先出一出。明天下午大盘变盘，当心点。以下为问答私密内容，你已经解锁获得查看权限物联网这次是有板块效应的，基本都是急涨，运气好有连板可能。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限环保股可以持中线，中信短线震荡格局未改，仍需时日盘整。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好， ?002495暂可观察一下。顶部信号还没确认。其它两个趋势一般要调整了。建议找机会出局。谢谢，可考虑配点保利地产或东北证券。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限券商要买买海通，招商也行。券商可以持股，补涨行情开始了。环保股其实都不错，相比来说，永清环保基金买的比较多，随你自个吧，要换也不要追，等短线回档下买。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限走势较稳，上方12一线有点压力，如放量则突破可期。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限880短线可以，2529不建议入。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线调整，还有上涨空间。目标位8fnw ,东林科技是什么？,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限盘整势，一般性，短线可以逢高出。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线小幅调整概率较高。明天逢高出。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，1买已经出现，建议离场，回撤到12块再做考虑回补！,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限鑫科有补涨可能，经济不好金属不强。亚太不建议入。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限还没有跌完啊，正常至少还要下跌20%以上，13是上方重压，建议逢高离场。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限徐家汇短线有回撤，，后市有新高，将考验12.8的支撑。300012,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限国电清新还可以，中线票，缺口暂时是上行压力。需要震荡消化。814调的有点凶，反弹到13一线可看一下，上不去可以先出。中原高速短线是热点，可以持股。好股不一定短线涨的快。如果怕高的话，中国石化和中国银行不错的。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，短线是不强，大多上影线较重，可以减一部分仓，接下来是盘整阶段。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限今天走势肯定封不了，在昨天最高点上面暂可持股为主！,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，日线极别回撤极限在31一线，周线在28.5一线，关注这两个支撑。如果31都不破，可继续持股。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限不建议介入，走势形态不理想。盘势未明。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这票基本面是不错，尾盘拉省子弹嘛，短线暂持，12块以上压力大。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限建议明天逢高跑吧，短线补跌开始。反弹也会较弱。,,,,,,,,,,,,
1   这票明显有人操纵，太明显了。以下为问答私密内容，你已经解锁获得查看权限关注13一线能否突破，如周一还不突破则是离场机会。待回撤再入。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，这个形态，还需再观察一天，万一补跌呢，55附近相对安全些，30分钟的箱底支撑,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限一般，没有量，结构形态是盘整，要进明天也有更低的点。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线是较弱，暂未止跌，现在主要是系统性风险。建议下周择机跑。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限暂时持股，26再看。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，短线小盘股不强，2657 到缺口位了。可逢高出。大跌再考虑接。737短线也差不多了，逢高出局为主。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这票是基金重仓啊。肯定有了。可以逢低买。明天要看10天线能不能站稳。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限质地不错，可以持股,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限是开玩笑吧，是问哪支能卖吧。大盘仍未止跌，暂不建议入票。所有的资金都在想着怎么跑，这行情要走牛需要几个月时间了。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限估计要短调一下，19一一有支撑，中线还能涨。可来回做做T.明天不推票，大 盘不稳，稳了再看。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限西部 的走势可上可下，可以观察一下。等送权。600172 ?下周要当心了，涨幅过大，要进入盘局了。下周有色有望继续上涨，可持西部。137一般性。可持可抛。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线可以，会有个补涨。暂持。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限下方第一支撑在11.8一线，下周一估计低开，看能否撑住，止损也在这里。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限形态极恶劣啊。放量杀，明天小回抽一点估计要杀向28一线了。当心。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限可以持股，短线问题不大。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，博实停牌了，对外投资事件未公布，估计是利好。亚玛顿，当前走势前构是下周还要创新高，短线支撑在31.5一线。可暂持。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，这票短线支撑在41附近。反抽一笔可先出局。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限今天进的？天啊，胆子太大了。基本都要补跌啊。明天择机先出。后天再看有没有入场低点。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限暴风科技今天涨停到跌停，不过是游资的击鼓传花，不建议入。众兴也要赶紧跑。大盘不过是反弹，且不大可能有上次反弹的力度。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限刚创历史新高，回撤很正常 啊可以持股。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，中线是可以的，但短线并非理想买点，按分钟级别看，上面空间只有5毛钱。还没重回强势。得把51夺回才有可能重回升势。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限10.13日的切口18块压力山大，突破则有望结束下降趋势。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限今天仍可持股，明天冲高看情况。短线或调整。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限冠城大通；当前走势震荡中枢下沿，明天最强是回撤一下9.8就向上走就好了。如果继续向下最好不破9.5，否则就要先出来，应为跌回9块平台内就是大概率了。爱尔的中线问题不大，但但线要密切关注35的支撑，按当前这一笔争杀来看，明天回撤35.5是大概率事件，最好不破35，否则调整周期将明显拉长。最强就是明天拉回38上面，但这种可能目前看较小！三全食品：短线理论要跌到39.5附近，明天如冲一冲可以做个高抛低吸。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线理论要反弹了，可以先买上一部分。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限大禹节水，低开，短线要调整了。可先离场 ?。 ?申万宏源。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限每个软件都有可能不一样，因为定的标准不同，都是对的，看资金不是看某一天，而是主要看两点：第一，趋势性，二，某一天是不是特别夸张，一旦这两点出现，一定要警惕，行情不是一天走出来的，一旦趋势形成，很难扭转，资金也如此. ? ?南方泵业本周主力并不给力，以流出为主，但这种票是中线票，发展三农，水利是重头戏。中国多地缺水，泵业股每年上半年都有机会，中线持股。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限中线牛股可以持有,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限走势不理想，不建议补仓，35块如撑不住就是下跌浪了，当心点。,,,,,,,,,,,,
1   已回答,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限排除大盘因素都可以买，但大盘不稳，要控制仓位，大盘变盘在即，止损都可设在５日线。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这种极端市看技术有时会明显滞后，形态刚走好你进入就走坏了，形态一极难看你卖出就涨了，此时的操作技巧就是见好就收，不要想着赚钱，不亏钱就跑的思路才有可能解套。暴跌才买，急涨必出，才是上策。你的成本离现价都不远，解套还是有望的。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限涨是涨，涨得完而已，可以考虑换。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限中线牛股，可以持有。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限调整到位，理论走势是回撤到30，启动第二波。关注下周一的走势。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短期背离，建议现价出,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限不好意思，昨天太忙了，没上来，该股第一波反抽的目 标位在22.9一线。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限那就错过啦，等下一次调整了，票是好票。可持续做的。上压在27一线。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，东方财富是不建议入手了，机器人还可以找低点入，目标位我是从45看至80的。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线是盘整，可以先出局，平台回撤到72一线再考虑入场。明天上午大盘要当心，创业板有继续回落的可能。短线可关注，002523 ? 重组 ? ?止损9.8 ? 目标位14,,,,,,,,,,,,
1   你好，谢谢认可。以下为问答私密内容，你已经解锁获得查看权限三只票都不错，东方财富短线有背驰，可以先出一出。其它两个挺稳的，还能守一下。下周关注精工钢构/保利地产！,,,,,,,,,,,,
1   你好，这票是压力较大，60一线不能破。不破就暂持,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，这票不大适合短线，一是盘子太大，二是现在大盘没有大牛市，这类个股空间小，涨的慢。当然大盘向下空间小，大资金可以中线可以越跌越买，逢低布局。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限量价配合，主力昨日也有流入，14.8压力较重，关注能否突破，如突破持有。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限下午再看能不能买票。上午逢高出票。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限走势还可以，量不大够。暂持。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，可以暂持，795涨的有点慢，也还有点空间，上压在5.9.,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限现在不是涨不涨的问题，是跌多少的问题，系统性风险要把止损设在5%以内，大盘未止跌，国家队下周救不一定能止跌，暂控制风险为上。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线开始有滞涨信号，建议逢高跑，或止损设43。5日线。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限中科金财支撑在年线57一线，汇川已破年线，没有支撑。利好迭加大盘短线有望反弹2天。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，短线反弹量能还没完，理论上高开再看多头能量。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线盘整，45是变盘尖尖了，要选方向了。大盘如果能回年线还是很快的。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限反正不低，下周有反抽赶紧跑吧。理论有一次小反抽再创新低。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限宽幅震荡，短线顶分，建议先行离场。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限中线一般。短线还有空间，会创新高。,,,,,,,,,,,,
9   002190 理论上还有一个新高，不过成交量缩的太快 建议先离场观望。以下为问答私密内容，你已经解锁获得查看权限300148不理想，建议出局，600279，先看一下下方60天线支撑，空间较为有限。,,,,,,,,,,,,
0   都建议离场。??? 279，最多再看一天，基本11.5也撑不住。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限最好止损。或看一下半年线能否撑住，如撑住有个小反弹。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限补涨开始，可以买些。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，现在小盘股相对比较弱，中原特钢的18块目标 位已到位，接下来是震荡盘整阶段。可做T.华中数控一季度亏损，情况不大理想，明天看一下机器人能否止跌。深天马暂时可以持股。走势相对稳健。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限大盘还不稳，建议逢高抛，来回做T.,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，形态上有整固需求，下方支撑36，中线可持，短线建议出局。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限逢高出局，后市仍有新低可能。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限13.86不破，还有一波主升浪，可持股。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限中签有中签号 啊，实在不行，周五看资金回不回来。今天没跌的票都是有主力在扛着的，还可以，核电股今天不错，明天大盘要看一下低开反抽的力度，力度弱也可以逢高减仓。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，大盘二度回撤，建议逢高出。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限000533短线承压20天线一线，压力山大。宜逢高减磅。300201 已站稳20天线，可暂持。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，300201 ?补涨个股，日线结构还可以，涨到18块看吧，上不去就要出了。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，到前期重要双头压力位了，短线要调整了。今天下午背驰了，13点20分应该先出了。等调整完了有买点再进比较好。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限都还有机会，就是涨的慢一点。,,,,,,,,,,,,
1    详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限84附近有回吸力，建议下午回抽无力离场，本周新股抽血较重谨慎为妙！,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，短线偏高，不过板块牛，还能涨，不过我觉的可以换成银邦股份或许更好。我也有。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好， 短线高了，不建议买。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限当下还可以持有。,,,,,,,,,,,,
